epoch,train_acc,test_acc,train_loss,test_loss,auc,time
1,0.981,0.74895,0.10023482331036093,1.6729110599048778,0.8772580400000001,102.01775789260864
2,0.9969,0.7771,0.02433849761363702,1.3730341270006692,0.898347715,101.20612406730652
3,0.99605,0.7792,0.02639981718382801,1.3651279816863788,0.902789535,101.94837594032288
4,0.99935,0.7463,0.011605432268958122,1.4087703490262553,0.9237822099999999,101.67335104942322
5,0.9972,0.8178,0.0201632695468946,1.0813997500807515,0.918949645,101.2770266532898
6,0.9995,0.66965,0.010120784903998477,2.8966750334382962,0.892429085,101.2861545085907
7,1.0,0.8253,0.008106399885417458,0.8499767849591527,0.933494085,101.6080276966095
8,0.9994,0.72845,0.010125902780412008,1.5455964973040919,0.9449485499999999,101.13944578170776
9,0.9998,0.79275,0.008828288767659388,1.1381313574130993,0.941113865,101.16233420372009
10,0.9996,0.8026,0.008935521940697735,2.4613905508635034,0.90901902,101.48861002922058
11,0.99935,0.7788,0.010457870264064532,1.00547114900929,0.9468738299999999,102.16424465179443
12,0.99995,0.7519,0.006511532983477838,1.2437503246291106,0.96540243,101.14958596229553
13,0.99925,0.7157,0.010501259249060774,1.8967574067776116,0.924122805,100.98087430000305
14,0.99995,0.80305,0.007081573091881772,0.9498277406251094,0.9532422150000001,101.59049701690674
15,0.99975,0.72665,0.007198757041221895,1.5213141774388634,0.9348074350000001,101.39431548118591
16,0.99995,0.82875,0.006177108471516889,0.9185362741266606,0.9569620050000002,101.46532273292542
17,0.99995,0.78145,0.005740630223204534,1.0074995909710354,0.95289095,102.01719689369202
18,0.99975,0.7457,0.006672421644349544,1.2052601894586736,0.9515447749999999,101.56174564361572
19,1.0,0.8381,0.005385163777951187,0.7752489824371716,0.9636508199999999,101.75357675552368
20,1.0,0.80185,0.0051144128479361055,0.9244824522629119,0.9645544099999999,101.96978735923767
