epoch,train_acc,test_acc,train_loss,test_loss,auc,time,lr
1,0.7805625,0.8566875,2.050121903896332,0.4418384390771389,0.9270277265625,140.6109757423401,0.0003131749896986176
2,0.916375,0.8405,1.371549623966217,0.441923605620861,0.9235651953125,103.68659567832947,0.0008408713801207742
3,0.944625,0.8288125,1.1990164299607278,0.4772278578579426,0.901345296875,103.97917604446411,0.0015615089701778624
4,0.961,0.8389375,1.1018734484314918,0.46957410728931426,0.9193145078125,103.52435803413391,0.0022817417056536114
5,0.969875,0.863,1.043072221636772,0.424207484215498,0.9394393828125,103.43025875091553,0.002808332154247834
6,0.976625,0.81875,0.9910370013713836,0.4380888257026672,0.9316984609375,111.29300594329834,0.0029999993957409636
7,0.984,0.847625,0.9509653188586235,0.41315349280834196,0.9400234296875,107.22944521903992,0.002962091829350018
8,0.9871875,0.857,0.9185229243636132,0.4450509252846241,0.9379270390624999,107.34226512908936,0.002850869174336722
9,0.9895,0.8735,0.9036901850700378,0.4203692344725132,0.9411766640625,112.74218845367432,0.0026719085990488047
10,0.99225,0.883,0.8816627355217934,0.4156655501723289,0.9472546015625001,107.00891470909119,0.002434183934005486
11,0.9934375,0.889875,0.8688360752463341,0.3728838666975498,0.9620159375,107.13860559463501,0.0021496156865637907
12,0.9963125,0.86575,0.8465207902193069,0.43377051958441737,0.9383405625000001,107.39075350761414,0.0018324732969039643
13,0.99625,0.8889375,0.8459994783401489,0.37698595058918,0.9619185703124999,106.96223306655884,0.0014986596087148427
14,0.9975,0.8976875,0.8391773400306701,0.39672340381145477,0.9634353359375,107.10674953460693,0.001164913434206799
15,0.998875,0.8673125,0.8290345361828804,0.4131931104362011,0.972534265625,107.2226893901825,0.0008479702001723256
16,0.998625,0.896,0.8299291718602181,0.3925408026278019,0.9651840078125002,107.10787296295166,0.0005637227638056012
17,0.99925,0.8914375,0.8232518798708915,0.370528736948967,0.9667262656250001,107.09273838996887,0.0003264244784799813
18,0.9985,0.907125,0.8255677013993263,0.3739944267868996,0.969275421875,107.44186067581177,0.00014797447109303938
19,0.99925,0.9019375,0.8227565187811852,0.3743639113008976,0.9679285312500001,107.09675621986389,3.732097015749461e-05
20,0.99925,0.892,0.8225602759718895,0.3993234334886074,0.967739296875,107.09352254867554,1.2604259036328297e-08
