epoch,train_acc,test_acc,test_auc,test_precision,test_recall,test_f1,train_loss,test_loss,binary_loss,pixel_loss,epoch_time,lr
1,0.9972639271304137,0.9917003617791019,0.9919304392155841,0.9947524794877727,0.9734084855819707,0.9837209006618621,0.3831424975553445,0.50237366320848,0.006919338984722039,0.37622315832207687,153.07987117767334,0.001
2,1.0,0.9918675706077281,0.9901272861492697,0.9941189225392272,0.9746380736717701,0.9840787640929389,0.36915127385770324,0.5041459214797511,5.393147643415239e-06,0.3691458807582349,134.50949954986572,0.001
3,1.0,0.9917459641869091,0.9876593465086401,0.9940900840463937,0.9742027443101082,0.9838339589815602,0.36874857175666675,0.5118175942581219,2.10766952102806e-06,0.3687464642313729,136.26285576820374,0.001
4,1.0,0.9917307633843067,0.9842271707014918,0.9951168797467838,0.9731841445275387,0.9837710441708392,0.3687006137539855,0.5276902028819699,1.309995471626936e-06,0.3686993035067499,135.9287405014038,0.001
5,1.0,0.9913811449244521,0.9887241407295184,0.9929765571400679,0.9738659879192249,0.983132082991043,0.3687520170897509,0.5168553854298963,9.806337946902626e-07,0.3687510369098292,137.87365794181824,0.001
6,1.0,0.990940321648983,0.9826868256711875,0.9920327463571,0.9730804678163987,0.9822715629004362,0.3686568605161346,0.5360725146758185,5.883047712229976e-07,0.36865627271147955,136.75912284851074,0.0005
7,0.9984587943962457,0.977928434621348,0.9896165519951825,0.9593013215894322,0.9556579462494856,0.9574682855353847,0.37823731458820076,0.5611501438434486,0.005431908491967839,0.37280540577078286,137.36449337005615,0.0005
8,0.9999826830831039,0.9749186757060773,0.9832492003820783,0.9464643817667937,0.9588465386415128,0.9525209024003344,0.3692966558500729,0.6064141230070638,0.00011185185107943709,0.36918480344841964,138.46578931808472,0.0005
9,0.9996882954958699,0.9801933542091023,0.9861999650369837,0.9578862054487463,0.9669714875154103,0.9623584392086513,0.371058333566231,0.5872708836621116,0.0009986682625842261,0.3700596649957969,136.84531116485596,0.0005
