epoch,train_acc,test_acc,train_loss,test_loss,auc,time,lr
1,0.8026564150518641,0.9262153041680601,1.9156676503279941,0.32285111575072145,0.9499105917645208,439.97181367874146,0.00031299301845354047
2,0.908341558868859,0.9464475724318244,1.4063268250570213,0.29022102149254153,0.9698717079331305,406.1522696018219,0.000840241094408872
3,0.937053007082619,0.942160946097954,1.2391593956109033,0.2905720276142025,0.9677411712990819,406.2223160266876,0.0015604175644598273
4,0.9534867612170329,0.9571945398717052,1.1338619203662554,0.2770601456789191,0.9674061152679957,406.3225243091583,0.002280482108086475
5,0.9699551491852391,0.9400024321284164,1.0330169022842368,0.3042181946612634,0.9649754611382866,405.99161767959595,0.0028074244061834304
6,0.9833584428628327,0.9681087161402122,0.9437877871137389,0.25636082626734263,0.9828016820040717,406.2387738227844,0.0029999999536843573
7,0.9898176528650839,0.929878697595233,0.8992658046260888,0.3307499491794448,0.9708531348525073,406.04329013824463,0.002962309027735957
8,0.9916532460560722,0.9191165293527498,0.8814778567383588,0.3237859888603831,0.9691126573853739,405.99296021461487,0.002851292121931195
9,0.992519091900878,0.9483780743623264,0.8736122493959081,0.29729197775865346,0.9736372438465177,405.91137194633484,0.0026725160874933487
10,0.9937312760836061,0.9434378135165536,0.8656595251290902,0.3010023556040883,0.9564295246437607,406.005740404129,0.0024349455012928406
11,0.9929173809894887,0.9627884352293801,0.8680875655985618,0.3079783362318338,0.9654673032927281,405.9035303592682,0.0021504931445301403
12,0.9955495523576983,0.964156507463594,0.8497374168662137,0.26700034153426666,0.9606143416090493,406.0135221481323,0.001833422646142931
