epoch,train_acc,test_acc,train_loss,test_loss,train_cls_loss,test_cls_loss,train_depth_loss,test_depth_loss,auc,time
1,0.9959,0.90985,0.012029290032281448,0.25887625235335204,0.009636045282523395,0.25705950776868053,0.004786489690585544,0.003633492835276662,0.98579928,160.55116963386536
2,1.0,0.8685,0.002013033406196025,0.5297698874057035,2.9876249717259684e-05,0.527831418284834,0.003966314306768318,0.003876941117157523,0.98447444,99.09341597557068
3,0.9919,0.88135,0.027101227865604975,0.43223984803916654,0.02475573271879195,0.43035601573736193,0.004690990765421345,0.0037676672054716524,0.9704487049999999,109.71216607093811
4,0.9999,0.88825,0.002665293882764614,0.4878226352833991,0.0006550812082400117,0.48587678302237075,0.004020425366065182,0.003891700094702621,0.9764317550000001,149.97654390335083
5,1.0,0.8757,0.00205783281377115,0.4909527659224281,6.700680744118039e-05,0.4891349998996762,0.003981652000871377,0.0036355308986033875,0.97894183,99.07578301429749
6,1.0,0.84225,0.002086224313379048,0.6791765921702311,0.00010255561989678203,0.6772309447120359,0.003967337372055212,0.003891292320469174,0.97680747,97.98501920700073
7,1.0,0.91365,0.0020946354695265523,0.3140896832769046,0.00011975698489928014,0.312275554387795,0.00394975697583022,0.003628254735681672,0.981988475,98.07839846611023
8,1.0,0.87305,0.0020205080895997086,0.45165177393026246,4.355604207416699e-05,0.44984304086875226,0.003953904096489421,0.0036174688449563883,0.9855025999999999,98.51635670661926
9,0.9997,0.594,0.003202515202366149,3.8089965134245394,0.0012266038734879475,3.807125275105545,0.003951822711785618,0.003742478154123591,0.9684097899999999,97.86315321922302
10,0.9998,0.9529,0.002749030679514923,0.1343661122959101,0.0007768475831360153,0.13253422368356177,0.003944366175038651,0.0036637753898355243,0.9951385899999999,128.21431136131287
11,1.0,0.9556,0.0021085862870723867,0.14276739613475878,0.00013624242131419115,0.14096943405350817,0.003944687732754234,0.0035959250076462667,0.99542374,156.69391012191772
12,1.0,0.92895,0.0021262234947182976,0.24657775910821156,0.0001531208018538125,0.2447494146069374,0.003946205391325413,0.0036566928936579168,0.993352555,155.11702346801758
13,1.0,0.9482,0.0020183010983426636,0.15676107042626783,4.919660628851657e-05,0.1549676014278157,0.003938208991727128,0.003586934665188241,0.9936158199999999,155.44230961799622
14,1.0,0.9294,0.0020064720686840507,0.2451055726708142,3.720979651997783e-05,0.24330215471153205,0.003938524542709652,0.0036068401045014206,0.99295106,118.44706606864929
15,1.0,0.92105,0.002011372909000435,0.253907133612749,4.176622164763126e-05,0.25212005935212295,0.003939213375516307,0.003574154095742078,0.9897702850000001,99.02388191223145
16,1.0,0.8669,0.0019981089928083288,0.4538925852442083,3.139757332544065e-05,0.4520889717656269,0.0039334228387275065,0.003607225225726589,0.99003843,99.9363021850586
17,1.0,0.92125,0.0020316956459154813,0.2898017681269243,6.429146066429226e-05,0.28799325788994157,0.0039348083670242145,0.003617020724817349,0.9918355999999999,99.43425917625427
18,1.0,0.91325,0.0019968043675812814,0.33263412383481705,2.9340638811061015e-05,0.33082761656908943,0.003934927470684527,0.0036130126256245774,0.99096577,99.37493896484375
19,1.0,0.91155,0.0019911371919805534,0.3475875883224084,2.57019816059145e-05,0.34578858157502423,0.003930870422010366,0.0035980122183232356,0.99324512,119.18705487251282
20,1.0,0.9288,0.0019879138276439174,0.2707186002264204,2.2171011776303052e-05,0.2689153857417081,0.003931485641652498,0.0036064303076912326,0.9938456800000001,120.51609587669373
